Unnamed: 0,id,name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price,inflation,adj_price
976,941,AU Rashid,england,35.0,5.8,bowler,right-handed-bat,right-arm-legbreak,20,155,7.38,88.58,0,12,1,0,22,11.0,137.5,0,2,1,131,7.36,24.35,19.85,2,9.1,45.5,30.0,Sunrisers Hyderabad,2023,20000000,1.10879675,22175935.0
531,318,Mujeeb Ur Rahman,bangladesh,21.0,,bowler,left-handed-bat,left-arm-fast-medium,13,87,4.58,74.36,0,3,5,8,13,13.0,56.53,0,0,1,132,7.52,21.62,17.26,61,8.14,28.89,21.28,Sunrisers Hyderabad,2016,14000000,1.55980021,21837202.93
47,408,DT Christian,australia,35.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,6,118,14.75,126.89,0,7,6,9,460,14.38,115.58,0,23,19,13,8.56,30.62,21.46,38,8.1,31.37,23.24,Delhi Capitals,2018,15000000,1.444252553,21663788.3
462,461,PJ Sangwan,india,28.0,,bowler,right-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,7,26,3.25,59.1,0,1,0,0,0.0,0.0,0.0,38,8.69,32.63,22.53,Mumbai Indians,2018,15000000,1.444252553,21663788.3
547,409,JJ Roy,england,28.0,,batsman,right-handed-bat,,0,1522,23.78,137.62,8,153,69,2,614,32.32,138.61,4,75,21,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Delhi Capitals,2018,15000000,1.444252553,21663788.3
676,462,JP Behrendorff,australia,28.0,,bowler,right-handed-bat,left-arm-fast-medium,1,7,7.0,77.78,0,0,0,2,6,0.0,66.67,0,0,0,18,8.36,24.61,17.67,19,9.05,29.05,19.26,Mumbai Indians,2018,15000000,1.444252553,21663788.3
969,934,RJW Topley,england,29.0,6.7,bowler,right-handed-bat,left-arm-fast-medium,8,17,8.5,85.0,0,1,0,1,3,0.0,50.0,0,0,0,33,8.31,29.64,21.39,5,10.71,36.4,20.4,Royal Challengers Bengaluru,2023,19000000,1.10879675,21067138.25
527,948,Mujeeb Ur Rahman,bangladesh,29.0,,bowler,left-handed-bat,left-arm-fast-medium,13,87,4.58,74.36,0,3,5,8,13,13.0,56.53,0,0,1,132,7.52,21.62,17.26,61,8.14,28.89,21.28,Chennai Super Kings,2024,20000000,1.0495,20990000.0
590,1005,LH Ferguson,new zealand,33.0,,bowler,right-handed-bat,right-arm-fast,7,29,3.63,80.56,0,0,2,7,68,22.67,147.83,0,6,2,64,7.1,16.98,14.36,46,8.96,31.0,20.76,Royal Challengers Bengaluru,2024,20000000,1.0495,20990000.0
652,970,Mujeeb Ur Rahman,afghanistan,23.0,,bowler,right-handed-bat,right-arm-offbreak,8,54,9.0,122.73,0,6,3,4,12,4.0,80.0,0,2,0,63,6.34,18.11,17.14,19,8.18,31.16,22.84,Kolkata Knight Riders,2024,20000000,1.0495,20990000.0
