name,matched_name
akash maharaj singh,Arshdeep Singh
jaydev unadkat,JD Unadkat
pat cummins,PJ Cummins
travis head,TM Head
ravichandran ashwin,R Ashwin
devon conway,DP Conway
khaleel ahmed,KK Ahmed
rachin ravindra,R Ravindra
anshul kamboj,A Kamboj
rahul tripathi,RA Tripathi
sam curran,SM Curran
gurjapneet singh,Gurkeerat Singh
nathan ellis,NT Ellis
jamie overton,J Overton
vijay shankar,V Shankar
andre siddarth c,MA Starc
shreyas gopal,S Gopal
kamlesh nagarkoti,KL Nagarkoti
mukesh choudhary,Mukesh Choudhary
shaik rasheed,SK Rasheed
kl rahul,KL Rahul
jake fraser-mcgurk,J Fraser-McGurk
mukesh kumar,Mukesh Kumar
harry brook,HC Brook
ashutosh sharma,Abhishek Sharma
mohit sharma,MM Sharma
faf du plessis,F du Plessis
sameer rizvi,Sameer Rizvi
donovan ferreira,D Ferreira
dushmantha chameera,PVD Chameera
vipraj nigam,V Nigam
karun nair,KK Nair
madhav tiwari,M Tiwari
tripurana vijay,M Vijay
manvanth kumar l,MJ Guptill
darshan nalkande,DG Nalkande
jos buttler,JC Buttler
kagiso rabada,K Rabada
