name,delivery_name
tim southee,TG Southee
baba indrajith,B Indrajith
chamika karunaratne,Sikandar Raza
abhijeet tomar,
aman hakim khan,Aman Hakim Khan
ramesh kumar,Mukesh Kumar
pratham singh,Shivam Singh
ashok sharma,Abhishek Sharma
quinton de kock,
krunal pandya,KH Pandya
avesh khan,Avesh Khan
ankit singh,Sanvir Singh
krishnappa gowtham,K Gowtham
dushmantha chameera,PVD Chameera
shahbaz nadeem,Shahbaz Ahmed
manan vohra,M Vohra
evin lewis,E Lewis
mohsin khan,Mohsin Khan
mayank yadav,R Sanjay Yadav
ayush badoni,A Badoni
kyle mayers,KR Mayers
karn sharma,Sandeep Sharma
jason holder,JO Holder
ishan kishan,Ishan Kishan
dewald brevis,D Brevis
anmolpreet singh,Anmolpreet Singh
basil thampi,Basil Thampi
murugan ashwin,Umran Malik
jaydev unadkat,JD Unadkat
mayank markande,Mayank Dagar
sanjay yadav,R Sanjay Yadav
daniel sams,Basil Thampi
tymal mills,TS Mills
tim david,Shivam Mavi
ramandeep singh,Ramandeep Singh
aryan juyal,Suyash Sharma
fabian allen,Anand Rajan
riley meredith,RP Meredith
rahul buddhi,KL Rahul
hrithik shokeen,HR Shokeen
arshad khan,Arshad Khan
arjun tendulkar,Arjun Tendulkar
kagiso rabada,K Rabada
jonny bairstow,JM Bairstow
rahul chahar,DL Chahar
shahrukh khan,M Shahrukh Khan
jitesh sharma,Abhishek Sharma
ishan porel,Abishek Porel
liam livingstone,LS Livingstone
odean smith,DR Smith
sandeep sharma,Sandeep Sharma
raj bawa,KA Maharaj
rishi dhawan,Rashid Khan
nathan ellis,IK Pathan
prerak mankad,PN Mankad
atharva taide,Atharva Taide
vaibhav arora,
bhanuka rajapaksa,PBB Rajapaksa
benny howell,R Powell
writtick chatterjee,
ansh patel,PA Patel
ravichandran ashwin,R Ravindra
shimron hetmyer,SO Hetmyer
devdutt padikkal,D Padikkal
prasidh krishna,M Prasidh Krishna
yuzvendra chahal,Saurav Chauhan
riyan parag,Priyansh Arya
kc cariappa,KC Cariappa
james neesham,JDS Neesham
nathan coulter-nile,NM Coulter-Nile
